PointNumber          x          y
1007             0.194473     -0.875804
1008             0.249030     -0.840658
1009             0.218052     -0.888068
1010             0.187638     -0.846411
1011             0.245331     -0.870495
1012             0.214917     -0.828839
1013             0.032668      0.224534
1014             0.094716      0.175055
1015             0.032668      0.175083
1016             0.068297      0.231652
1017             0.032668      0.076180
1018             0.094716      0.125604
1019             0.032668      0.125631
1020             0.067075      0.069001
1021             0.063692      0.150343
1022             0.211524      0.191759
1023             0.154334      0.164130
1024             0.187533      0.209802
1025             0.135887      0.054643
1026             0.129122      0.118425
1027             0.101481      0.061822
1028             0.098098      0.093713
1029             0.139553      0.245887
1030             0.130344      0.182173
1031             0.103925      0.238769
1032             0.163543      0.227844
1033             0.099320      0.206912
1034             0.158939      0.195987
1035             0.260907      0.202550
1036             0.302484      0.196501
1037             0.022905      0.426332
1038             0.065424      0.384838
1039             0.022905      0.376881
1040             0.050907      0.430162
1041             0.022905      0.277978
1042             0.065424      0.335387
1043             0.022905      0.327429
1044             0.058533      0.285095
1045             0.044164      0.356134
1046             0.152675      0.378447
1047             0.108681      0.368877
1048             0.145046      0.352075
1049             0.137421      0.398239
1050             0.129789      0.299331
1051             0.101052      0.342505
1052             0.094161      0.292213
1053             0.137418      0.325703
1054             0.079793      0.313800
1055             0.123049      0.347290
1056             0.106912      0.437821
1057             0.093427      0.388668
1058             0.078910      0.433992
1059             0.122166      0.418030
1060             0.072167      0.409415
1061             0.115424      0.393453
1062             0.462443     -0.281512
1063             0.486337     -0.239630
1064             0.264332     -0.079326
1065             0.252578     -0.034074
1066             0.236384     -0.080254
1067             0.166128      0.014201
1068             0.219843     -0.002899
1069             0.170915     -0.017903
1070             0.307264      0.042548
1071             0.266889      0.006550
1072             0.180490     -0.082111
1073             0.224631     -0.035003
1074             0.208437     -0.081182
1075             0.175703     -0.050007
1076             0.230508     -0.057628
1077             0.197773     -0.026453
1078             0.301194      0.409015
1079             0.268715      0.401386
1080             0.194123      0.386817
1081             0.233025      0.393987
1082             0.210257      0.369370
1083             0.204463      0.411774
1084             0.242527      0.334475
1085             0.249159      0.376539
1086             0.226392      0.351922
1087             0.229708      0.372954
1088             0.225144      0.461687
1089             0.243365      0.418943
1090             0.214804      0.436731
1091             0.223914      0.415359
1092             0.540244     -0.048096
1093             0.512178     -0.075210
1094             0.545178     -0.062899
1095             0.555046     -0.092504
1096             0.517112     -0.090013
1097             0.550112     -0.077702
1098             0.531145     -0.076456
1099             0.440971     -0.107715
1100             0.479087     -0.095083
1101             0.017922      0.581565
1102             0.050476      0.553284
1103             0.017922      0.544408
1104             0.037315      0.590912
1105             0.017922      0.470095
1106             0.050476      0.516128
1107             0.017922      0.507252
1108             0.045924      0.473925
1109             0.034199      0.530268
1110             0.121577      0.552022
